Make,Model_Name,Model_StartYear,Model_EndYear,Model_Link
Make,Model_Name,Model_StartYear,Model_EndYear,Model_Link
Citroen,Citroen 2 CV,1949,1990,/model/citroen/2_cv.html
Citroen,Citroen 2 CV Prototype (TPV),1939,1939,/model/citroen/2_cv_prototype.html
Citroen,Citroen 5 CV,1921,1921,/model/citroen/c_5cv.html
Citroen,Citroen A 4x4,1981,1985,/model/citroen/a_4x4.html
Citroen,Citroen Acadiane,1978,1987,/model/citroen/acadiane.html
Citroen,Citroen Ami,1961,1978,/model/citroen/ami.html
Citroen,Citroen AX,1986,1998,/model/citroen/ax.html
Citroen,Citroen Axel,1984,1990,/model/citroen/axel.html
Citroen,Citroen Berlingo 1st generation,1996,2010,/model/citroen/berlingo_1gen.html
Citroen,Citroen Berlingo 2nd generation,2008,2018,/model/citroen/berlingo_2gen.html
Citroen,Citroen BX,1982,1994,/model/citroen/bx.html
Citroen,Citroen BX 4 TC,1985,1985,/model/citroen/bx_4tc.html
Citroen,Citroen C-10 Concept,1958,1958,/model/citroen/c-10_prototype.html
Citroen,Citroen C-Airplay Concept,2005,2005,/model/citroen/c-airplay.html
Citroen,Citroen C-Crosser,2006,2012,/model/citroen/c-crosser_1gen.html
Citroen,Citroen C-Elysee,2013,,/model/citroen/c-elysee.html
Citroen,Citroen C-Zero,2011,2020,/model/citroen/c-zero.html
Citroen,Citroen C1 1st generation,2005,2014,/model/citroen/c1_1gen.html
Citroen,Citroen C1 2nd generation,2014,,/model/citroen/c1_2gen.html
Citroen,Citroen C2,2003,2009,/model/citroen/c2_1gen.html
Citroen,Citroen C3 1st generation,2001,2010,/model/citroen/c3_1gen.html
Citroen,Citroen C3 2nd generation,2009,2016,/model/citroen/c3_2gen.html
Citroen,Citroen C3 3rd generation,2016,,/model/citroen/c3_3gen.html
Citroen,Citroen C3 Aircross,2017,,/model/citroen/c3_aircross.html
Citroen,Citroen C3 Picasso,2008,2017,/model/citroen/c3_picasso_1gen.html
Citroen,Citroen C3 Pluriel,2003,2010,/model/citroen/c3_pluriel.html
Citroen,Citroen C4 1st generation,2004,2011,/model/citroen/c4_1gen.html
Citroen,Citroen C4 2nd generation,2011,2017,/model/citroen/c4_2gen.html
Citroen,Citroen C4 3rd generation,2020,,/model/citroen/c4_3gen.html
Citroen,Citroen C4 Aircross,2012,2017,/model/citroen/c4_aircross.html
Citroen,Citroen C4 Cactus,2014,2020,/model/citroen/c4_cactus.html
Citroen,Citroen C4 Picasso 1st generation,2006,2013,/model/citroen/c4_picasso_1gen.html
Citroen,Citroen C4 Picasso 2nd generation,2013,2018,/model/citroen/c4_picasso_2gen.html
Citroen,Citroen C4 Spacetourer,2018,,/model/citroen/c4_spacetourer.html
Citroen,Citroen C5 1st generation,2000,2008,/model/citroen/c5_1gen.html
Citroen,Citroen C5 2nd generation,2008,2017,/model/citroen/c5_2gen.html
Citroen,Citroen C5 Aircross,2018,,/model/citroen/c5_aircross.html
Citroen,Citroen C6,2005,2013,/model/citroen/c6_1gen.html
Citroen,Citroen C8,2002,2014,/model/citroen/c8_1gen.html
Citroen,Citroen CX,1974,1991,/model/citroen/cx.html
Citroen,Citroen DS Wild Rubis,2013,2013,/model/citroen/ds_wild_rubis.html
Citroen,Citroen DS-ID,1955,1975,/model/citroen/ds_id.html
Citroen,Citroen DS3,2010,2015,/model/citroen/ds3_1gen.html
Citroen,Citroen DS4,2011,2015,/model/citroen/ds4_1gen.html
Citroen,Citroen DS5,2012,2015,/model/citroen/ds5_1gen.html
Citroen,Citroen Dyane,1967,1983,/model/citroen/dyane.html
Citroen,Citroen E-Mehari,2016,2019,/model/citroen/e-mehari.html
Citroen,Citroen Eco 2000 Concept,1984,1984,/model/citroen/eco_2000_prototype.html
Citroen,Citroen Eole Concept,1985,1985,/model/citroen/eole_prototype.html
Citroen,Citroen Evasion,1994,2002,/model/citroen/evasion.html
Citroen,Citroen FAF,1978,1985,/model/citroen/faf.html
Citroen,Citroen GS-GSA,1970,1986,/model/citroen/gs_gsa.html
Citroen,Citroen Jumper-Relay 2nd generation,2006,,/model/citroen/jumper_2gen.html
Citroen,Citroen Jumpy-Dispatch 2nd generation,2007,2016,/model/citroen/jumpy_2gen.html
Citroen,Citroen Karin Concept,1980,1980,/model/citroen/karin_prototype.html
Citroen,Citroen Lacoste Concept,2010,2010,/model/citroen/lacoste_concept.html
Citroen,Citroen LN-LNA,1975,1986,/model/citroen/ln_lna.html
Citroen,Citroen M-35,1970,1971,/model/citroen/m-35.html
Citroen,Citroen Mehari,1968,1987,/model/citroen/mehari.html
Citroen,Citroen Metropolis Concept,2010,2010,/model/citroen/metropolis_concept.html
Citroen,Citroen Nemo,2007,2016,/model/citroen/nemo_1gen.html
Citroen,Citroen SA-103 Concept,1981,1981,/model/citroen/sa-103_prototype.html
Citroen,Citroen SA-109 Concept,1984,1984,/model/citroen/sa-109_prototype.html
Citroen,Citroen SA-117 Concept,1982,1982,/model/citroen/sa-117_prototype.html
Citroen,Citroen Saxo,1996,2003,/model/citroen/saxo.html
Citroen,Citroen SM,1970,1975,/model/citroen/sm.html
Citroen,Citroen Survolt Concept,2010,2010,/model/citroen/survolt_concept.html
Citroen,Citroen Traction Avant,1934,1957,/model/citroen/traction_avant.html
Citroen,Citroen Visa,1978,1988,/model/citroen/visa.html
Citroen,Citroen Xanthia Concept,1986,1986,/model/citroen/xanthia_prototype.html
Citroen,Citroen Xantia,1993,2002,/model/citroen/xantia.html
Citroen,Citroen XM,1989,2000,/model/citroen/xm.html
Citroen,Citroen Xsara,1997,2005,/model/citroen/xsara.html
Citroen,Citroen Xsara Picasso,1999,2010,/model/citroen/xsara_picasso.html
Citroen,Citroen Zabrus Concept,1986,1986,/model/citroen/zabrus_prototype.html
Citroen,Citroen ZX,1991,1997,/model/citroen/zx.html
Fiat,Fiat 1100 A-E,1939,1953,/model/fiat/1100_a-e.html
Fiat,Fiat 1100 ES Pininfarina,1950,1951,/model/fiat/1100_es.html
Fiat,Fiat 1100 S,1947,1950,/model/fiat/1100_s.html
Fiat,Fiat 1100 Zagato,1950,1950,/model/fiat/1100_zagato_coupe.html
Fiat,Fiat 1100-1200 (model 103) Berlina-Familiare,1953,1969,/model/fiat/1100_1200_typ_103.html
Fiat,Fiat 1100-1200 (model 103) Trasformabile-Spyder,1955,1959,/model/fiat/1100_1200_typ_103_transformabile_spyder.html
Fiat,Fiat 1200-1500-1600 Cabriolet Pininfarina,1959,1966,/model/fiat/1200_1500_1600_cabriolet.html
Fiat,Fiat 1200-1500-1600 Coupe Pininfarina,1959,1966,/model/fiat/1200_1500_1600_coupe.html
Fiat,Fiat 124 Berlina-Familiare,1966,1974,/model/fiat/124_berlina_familiare.html
Fiat,Fiat 124 Coupe,1967,1976,/model/fiat/124_coupe.html
Fiat,Fiat 124 D (Seat),1978,1980,/model/fiat/124_df.html
Fiat,Fiat 124 Rally Abarth,1972,1975,/model/fiat/124_rally_abarth.html
Fiat,Fiat 124 Spider,2016,,/model/fiat/124_spider.html
Fiat,Fiat 124 Spider Pininfarina,1967,1985,/model/fiat/124_spider_pininfarina_spidereuropa.html
Fiat,Fiat 125 Berlina,1967,1972,/model/fiat/125.html
Fiat,Fiat 126,1972,2000,/model/fiat/126.html
Fiat,Fiat 126 Cavaletta,1976,1976,/model/fiat/126_cavaletta.html
Fiat,Fiat 127,1971,1987,/model/fiat/127.html
Fiat,Fiat 128 3P Berlinetta,1975,1979,/model/fiat/128_3p_berlinetta.html
Fiat,Fiat 128 Berlina-Familiare,1969,1985,/model/fiat/128_berlina_familiare.html
Fiat,Fiat 128 Coupe,1971,1975,/model/fiat/128_coupe.html
Fiat,Fiat 130 Berlina,1969,1977,/model/fiat/130_berlina.html
Fiat,Fiat 130 Coupe,1971,1977,/model/fiat/130_coupe.html
Fiat,Fiat 1300-1500 (model 116/115),1961,1967,/model/fiat/1300_1500_typ_116_115.html
Fiat,Fiat 131 Mirafiori,1974,1984,/model/fiat/131_mirafiori.html
Fiat,Fiat 132,1972,1981,/model/fiat/132.html
Fiat,Fiat 133 (Seat),1975,1979,/model/fiat/133f.html
Fiat,Fiat 1400-1900 (model 101),1950,1958,/model/fiat/1400_1900.html
Fiat,Fiat 1500 A-E,1935,1950,/model/fiat/1500_a-e.html
Fiat,Fiat 1800-2100-2300-1500L,1959,1968,/model/fiat/1800_2100_2300.html
Fiat,Fiat 2100 Coupe Vignale,1959,1960,/model/fiat/2100_coupe_vignale.html
Fiat,Fiat 2300 Coupe Ghia,1961,1968,/model/fiat/2300_coupe_ghia.html
Fiat,Fiat 500 (model 110-model 120),1957,1975,/model/fiat/500_typ_110_120.html
Fiat,Fiat 500 (model 150),2007,,/model/fiat/500.html
Fiat,Fiat 500 (EV),2020,,/model/fiat/500_ev.html
Fiat,Fiat 500 Topolino,1936,1955,/model/fiat/500_topolino.html
Fiat,Fiat 500 Zagato Coupe Concept,2011,2011,/model/fiat/500_zagato.html
Fiat,Fiat 500L,2012,,/model/fiat/500l.html
Fiat,Fiat 500X,2015,,/model/fiat/500x.html
Fiat,Fiat 600 Berlina (model 100),1955,1969,/model/fiat/600_typ_100.html
Fiat,Fiat 600 Multipla (model 100),1956,1969,/model/fiat/600_multipla_typ_100.html
Fiat,Fiat 600-850 Familiare,1964,1976,/model/fiat/600_850_familiare.html
Fiat,Fiat 850 Berlina (model 100G),1964,1972,/model/fiat/850_typ_100g.html
Fiat,Fiat 850 Coupe,1965,1971,/model/fiat/850_coupe.html
Fiat,Fiat 850 Racer Bertone,1970,1971,/model/fiat/850_racer.html
Fiat,Fiat 850 Spider,1965,1972,/model/fiat/850_spider_bertone_racer_bertone.html
Fiat,Fiat 8V,1952,1954,/model/fiat/8v.html
Fiat,Fiat Albea,2002,2010,/model/fiat/albea_1gen.html
Fiat,Fiat Argenta,1981,1985,/model/fiat/argenta.html
Fiat,Fiat Barchetta (model 183),1995,2005,/model/fiat/barchetta_typ_176.html
Fiat,Fiat Brava (North America 131),1979,1981,/model/fiat/brava_us.html
Fiat,Fiat Bravo 2nd generation (model 198),2007,2014,/model/fiat/bravo_2gen.html
Fiat,Fiat Bravo-Brava (model 182),1995,2001,/model/fiat/bravo_brava.html
Fiat,Fiat Campagnola 1st generation (1101-1102),1951,1973,/model/fiat/campagnola_1gen.html
Fiat,Fiat Campagnola 2nd generation (1107),1973,1985,/model/fiat/campagnola_2gen.html
Fiat,Fiat Cinquecento (model 170),1991,1998,/model/fiat/cinquecento.html
Fiat,Fiat Coupe (model 175),1994,2000,/model/fiat/coupe_typ_175.html
Fiat,Fiat Croma 1st generation (model 154),1985,1996,/model/fiat/croma_1gen.html
Fiat,Fiat Croma 2nd generation (model 194),2005,2009,/model/fiat/croma_2gen.html
Fiat,Fiat Dino Coupe (Bertone),1967,1973,/model/fiat/dino_coupe.html
Fiat,Fiat Dino Spider (Pininfarina),1966,1972,/model/fiat/dino_spider.html
Fiat,Fiat Doblo 1st generation (model 223),2001,2010,/model/fiat/doblo_1gen.html
Fiat,Fiat Doblo 2nd generation,2010,,/model/fiat/doblo_2gen.html
Fiat,Fiat Ducato 1st generation,1982,1994,/model/fiat/ducato_1gen.html
Fiat,Fiat Duna (model 146B),1987,1991,/model/fiat/duna_eu-model.html
Fiat,Fiat Fiorino 3rd generation,2007,,/model/fiat/fiorino_3gen.html
Fiat,Fiat Freemont,2011,2015,/model/fiat/freemont.html
Fiat,Fiat Idea (model 350),2003,2012,/model/fiat/idea.html
Fiat,Fiat Linea,2007,2013,/model/fiat/linea.html
Fiat,Fiat Marea (model 185),1996,2002,/model/fiat/marea.html
Fiat,Fiat Multipla (model 186),1998,2010,/model/fiat/multipla.html
Fiat,Fiat Oltre Concept,2005,2005,/model/fiat/oltre.html
Fiat,Fiat Palio Weekend Series 1,1997,2001,/model/fiat/palio_weekend_eu-model_1gen.html
Fiat,Fiat Palio Weekend Series 2,2001,2004,/model/fiat/palio_weekend_eu-model_2gen.html
Fiat,Fiat Panda 1st generation (model 141),1980,2001,/model/fiat/panda_1gen.html
Fiat,Fiat Panda 2nd generation (model 169),2003,2012,/model/fiat/panda_2gen.html
Fiat,Fiat Panda 3rd generation,2012,,/model/fiat/panda_3gen.html
Fiat,Fiat Punto 1st generation (model 176),1993,1999,/model/fiat/punto_1gen.html
Fiat,Fiat Punto 2nd generation (model 188),1999,2010,/model/fiat/punto_2gen.html
Fiat,Fiat Punto 3rd generation (model 199),2005,2014,/model/fiat/punto_3gen.html
Fiat,Fiat Qubo,2008,,/model/fiat/qubo.html
Fiat,Fiat Regata (model 138),1983,1990,/model/fiat/regata.html
Fiat,Fiat Ritmo-Strada (model 138),1978,1988,/model/fiat/ritmo_strada.html
Fiat,Fiat Sedici,2005,2012,/model/fiat/sedici.html
Fiat,Fiat Seicento/600 (model 187),1998,2010,/model/fiat/seicento.html
Fiat,Fiat Siena Europe,1997,2002,/model/fiat/siena_eu-model.html
Fiat,Fiat Stilo (model 192),2001,2007,/model/fiat/stilo.html
Fiat,Fiat Tempra (model 159),1990,1996,/model/fiat/tempra.html
Fiat,Fiat Tipo 1st generation (model 160),1988,1995,/model/fiat/tipo.html
Fiat,Fiat Tipo 2nd generation,2016,,/model/fiat/tipo_2gen.html
Fiat,Fiat Ulysse 1st generation,1994,2002,/model/fiat/ulysse_1gen.html
Fiat,Fiat Ulysse 2nd generation (model 179),2002,2010,/model/fiat/ulysse_2gen.html
Fiat,Fiat Uno (model 146),1983,2002,/model/fiat/uno.html
Fiat,Fiat X 1/9,1972,1989,/model/fiat/x_1_9.html
Hyundai,Hyundai Accent 1st generation (X3-series),1994,1999,/model/hyundai/accent_1gen.html
Hyundai,Hyundai Accent 2nd generation (LC-series),1999,2006,/model/hyundai/accent_2gen.html
Hyundai,Hyundai Accent 3rd generation (MC-series),2006,2011,/model/hyundai/accent_3gen.html
Hyundai,Hyundai Accent 4th generation (RB-series),2011,2013,/model/hyundai/accent_4gen.html
Hyundai,Hyundai Atoz-Atos-Amica 1st generation,1997,2003,/model/hyundai/atos_1gen.html
Hyundai,Hyundai Atoz-Atos-Amica 2nd generation,2003,2008,/model/hyundai/atos_2gen.html
Hyundai,Hyundai Avante 1st generation (J2-series),1995,2000,/model/hyundai/avante_1gen.html
Hyundai,Hyundai Avante 2nd generation (XD-series),2000,2006,/model/hyundai/avante_2gen.html
Hyundai,Hyundai Avante 3rd generation (HD-series),2006,2010,/model/hyundai/avante_3gen.html
Hyundai,Hyundai Avante 4th generation (MD-series),2010,2015,/model/hyundai/avante_4gen.html
Hyundai,Hyundai Azera 1st generation,2007,2010,/model/hyundai/azera_grandeur_tg.html
Hyundai,Hyundai Azera 2nd generation,2012,2014,/model/hyundai/azera_grandeur_hg.html
Hyundai,Hyundai Blue On Electric,2011,2011,/model/hyundai/blue_on_electric.html
Hyundai,Hyundai Click (TB-series),2002,2009,/model/hyundai/click.html
Hyundai,Hyundai Coupe 1st generation (RC-series),1996,2001,/model/hyundai/coupe_hyu_1gen.html
Hyundai,Hyundai Coupe 2nd generation (GK-series),2002,2009,/model/hyundai/coupe_hyu_2gen.html
Hyundai,Hyundai Dynasty,1996,2005,/model/hyundai/dynasty_hyundai.html
Hyundai,Hyundai Elantra 3rd generation (XD-series),2000,2006,/model/hyundai/elantra_3gen.html
Hyundai,Hyundai Elantra 4th generation (HD-series),2006,2010,/model/hyundai/elantra_4gen.html
Hyundai,Hyundai Elantra 5th generation (MD-series),2011,2013,/model/hyundai/elantra_5gen.html
Hyundai,Hyundai Elantra-Lantra 1st generation (J1-series),1991,1995,/model/hyundai/elantra_1gen.html
Hyundai,Hyundai Elantra-Lantra 2nd generation (J2-series),1995,2000,/model/hyundai/elantra_2gen.html
Hyundai,Hyundai Equus-Centennial 1st generation,1999,2008,/model/hyundai/equus_centennial_1gen.html
Hyundai,Hyundai Equus-Centennial 2nd generation,2009,2016,/model/hyundai/equus_centennial_2gen.html
Hyundai,Hyundai Excel 2nd generation (X2-series),1991,1994,/model/hyundai/excel_ko.html
Hyundai,Hyundai Galloper 1st generation,1991,1998,/model/hyundai/galloper_1gen.html
Hyundai,Hyundai Galloper 2nd generation (Galloper II),1998,2003,/model/hyundai/galloper_2gen.html
Hyundai,Hyundai Genesis Coupe,2009,2016,/model/hyundai/genesis_coupe.html
Hyundai,Hyundai Genesis Sedan 1st generation (BH-series),2008,2013,/model/hyundai/genesis.html
Hyundai,Hyundai Genesis Sedan 2nd generation (DH-series),2015,2016,/model/hyundai/genesis_2gen.html
Hyundai,Hyundai Getz (TB-series),2002,2009,/model/hyundai/getz.html
Hyundai,Hyundai Grand Santa Fe,2013,2018,/model/hyundai/santa_fe_3gen_grand.html
Hyundai,Hyundai Grandeur 1st generation,1986,1992,/model/hyundai/grandeur_1gen.html
Hyundai,Hyundai Grandeur 2nd generation,1992,1998,/model/hyundai/grandeur_2gen.html
Hyundai,Hyundai Grandeur HG,2011,2013,/model/hyundai/grandeur_hg.html
Hyundai,Hyundai Grandeur TG,2005,2011,/model/hyundai/grandeur_tg.html
Hyundai,Hyundai Grandeur XG,1999,2005,/model/hyundai/grandeur_xg.html
Hyundai,Hyundai HED-1 Concept,2005,2005,/model/hyundai/hed-1.html
Hyundai,Hyundai i10 1st generation,2007,2013,/model/hyundai/i10.html
Hyundai,Hyundai i10 2nd generation,2014,2019,/model/hyundai/i10_2gen.html
Hyundai,Hyundai i10 3rd generation,2020,,/model/hyundai/i10_3gen.html
Hyundai,Hyundai i20 1st generation,2008,2014,/model/hyundai/i20.html
Hyundai,Hyundai i20 2nd generation,2015,2020,/model/hyundai/i20_2gen.html
Hyundai,Hyundai i20 3rd generation,2020,,/model/hyundai/i20_3gen.html
Hyundai,Hyundai i30 1st generation,2007,2012,/model/hyundai/i30.html
Hyundai,Hyundai i30 2nd generation,2012,2017,/model/hyundai/i30_2gen.html
Hyundai,Hyundai i30 3rd generation,2017,,/model/hyundai/i30_3gen.html
Hyundai,Hyundai i40,2011,2019,/model/hyundai/i40.html
Hyundai,Hyundai Ioniq,2016,,/model/hyundai/ioniq.html
Hyundai,Hyundai ix20,2010,2019,/model/hyundai/ix20.html
Hyundai,Hyundai ix35,2009,2015,/model/hyundai/ix35.html
Hyundai,Hyundai ix35 Fuel Cell,2016,2017,/model/hyundai/ix35_fuel_cell.html
Hyundai,Hyundai ix55,2009,2013,/model/hyundai/ix55.html
Hyundai,Hyundai Kona,2017,,/model/hyundai/kona.html
Hyundai,Hyundai Lavita,2001,2008,/model/hyundai/lavita.html
Hyundai,Hyundai Marcia,1995,1998,/model/hyundai/marcia.html
Hyundai,Hyundai Matrix,2001,2010,/model/hyundai/lavita_matrix.html
Hyundai,Hyundai NEXO,2018,,/model/hyundai/nexo.html
Hyundai,Hyundai Pony 1st generation,1974,1990,/model/hyundai/pony_1gen.html
Hyundai,Hyundai Pony 2nd generation (X1-series),1985,1989,/model/hyundai/pony_2gen.html
Hyundai,Hyundai Pony 3rd generation (X2-series),1989,1994,/model/hyundai/pony_3gen.html
Hyundai,Hyundai Pony 4th generation (X3-series),1994,1999,/model/hyundai/pony_4gen.html
Hyundai,Hyundai S-Coupe,1989,1996,/model/hyundai/scoupe.html
Hyundai,Hyundai Santa Fe 1st generation,2000,2006,/model/hyundai/santa_fe_1gen.html
Hyundai,Hyundai Santa Fe 2nd generation,2006,2012,/model/hyundai/santa_fe_2gen.html
Hyundai,Hyundai Santa Fe 3rd generation,2012,2018,/model/hyundai/santa_fe_3gen.html
Hyundai,Hyundai Santa Fe 4th generation,2018,,/model/hyundai/santa_fe_4gen.html
Hyundai,Hyundai Santamo,1996,2002,/model/hyundai/santamo.html
Hyundai,Hyundai Sonata 2nd generation (Y2-series),1987,1993,/model/hyundai/sonata_1gen.html
Hyundai,"Hyundai Sonata 3rd generation (Y3-series, II, III)",1993,1998,/model/hyundai/sonata_2gen.html
Hyundai,Hyundai Sonata 4th generation (EF-series),1998,2005,/model/hyundai/sonata_3gen.html
Hyundai,Hyundai Sonata 5th generation (NF-series),2005,2010,/model/hyundai/sonata_4gen.html
Hyundai,Hyundai Sonata 6th generation (YF-series),2009,2012,/model/hyundai/sonata_5gen.html
Hyundai,Hyundai Sonica,1993,1998,/model/hyundai/sonica.html
Hyundai,Hyundai Starex-Satellite-H1 1st generation,1997,2007,/model/hyundai/starex_1gen.html
Hyundai,Hyundai Starex-Satellite-H1-i800 2nd generation,2007,,/model/hyundai/starex_2gen.html
Hyundai,Hyundai Stellar,1983,1991,/model/hyundai/stellar.html
Hyundai,Hyundai Terracan,2001,2007,/model/hyundai/terracan.html
Hyundai,Hyundai Tiburon (RC-series),1996,2001,/model/hyundai/tiburon_1gen.html
Hyundai,Hyundai Trajet,1999,2007,/model/hyundai/trajet.html
Hyundai,Hyundai Tucson 1st generation (JM),2004,2010,/model/hyundai/tucson_1gen.html
Hyundai,Hyundai Tucson 2nd generation (Tucson iX),2009,2013,/model/hyundai/tucson_2gen.html
Hyundai,Hyundai Tucson 3rd generation,2015,2020,/model/hyundai/tucson_3gen.html
Hyundai,Hyundai Tucson 4th generation,2021,,/model/hyundai/tucson_4gen.html
Hyundai,Hyundai Tuscani (GK-series),2001,2009,/model/hyundai/tuscani.html
Hyundai,Hyundai Veloster 1st Generation,2011,2016,/model/hyundai/veloster.html
Hyundai,Hyundai Veracruz,2006,2013,/model/hyundai/veracruz.html
Hyundai,Hyundai Verna 1st generation (LC-series),1999,2005,/model/hyundai/verna_1gen.html
Hyundai,Hyundai Verna 2nd generation (MC-series),2005,2011,/model/hyundai/verna_2gen.html
Hyundai,Hyundai XG,1999,2005,/model/hyundai/xg.html
Ferrari,Ferrari 125-159 S,1947,1947,/model/ferrari/125_159_s.html
Ferrari,Ferrari 166 S,1948,1948,/model/ferrari/166_s.html
Ferrari,Ferrari 166 Spyder Corsa,1947,1948,/model/ferrari/166_spyder_corsa.html
Ferrari,Ferrari 166-195-212 Inter,1948,1953,/model/ferrari/166_195_212_inter.html
Ferrari,Ferrari 166-212-250-340-375 MM,1948,1955,/model/ferrari/166_mm.html
Ferrari,Ferrari 196 S,1959,1959,/model/ferrari/196_s.html
Ferrari,Ferrari 212 Export,1951,1952,/model/ferrari/212_export.html
Ferrari,Ferrari 225 S,1951,1952,/model/ferrari/225_s.html
Ferrari,Ferrari 246 SP,1961,1961,/model/ferrari/246_sp.html
Ferrari,Ferrari 250 Europa,1954,1955,/model/ferrari/250_europa.html
Ferrari,Ferrari 250 GT,1955,1964,/model/ferrari/250_gt.html
Ferrari,Ferrari 250 GTO,1962,1964,/model/ferrari/250_gto.html
Ferrari,Ferrari 250 LM,1963,1966,/model/ferrari/250_lm.html
Ferrari,Ferrari 250-330 Testa Rossa,1958,1962,/model/ferrari/250-330_tr.html
Ferrari,Ferrari 275 GTB-GTS,1964,1968,/model/ferrari/275_gtb_gts.html
Ferrari,Ferrari 288 GTO,1984,1985,/model/ferrari/288_gto.html
Ferrari,Ferrari 290 MM,1956,1957,/model/ferrari/290_mm.html
Ferrari,Ferrari 308-208 GT4,1976,1980,/model/ferrari/308_208_gt4_ferrari.html
Ferrari,Ferrari 308-208-328 GTB-GTS,1975,1989,/model/ferrari/308_208_328_gtb_gts.html
Ferrari,Ferrari 330 America,1963,1964,/model/ferrari/330_america.html
Ferrari,Ferrari 330 GT 2+2,1964,1967,/model/ferrari/330_gt_2_2.html
Ferrari,Ferrari 330 P4,1967,1967,/model/ferrari/330_p4.html
Ferrari,Ferrari 330-365 GTC-GTS,1966,1969,/model/ferrari/330_365_gtc_gts.html
Ferrari,Ferrari 340-342-375 America,1951,1955,/model/ferrari/340_342_375_america.html
Ferrari,Ferrari 348,1989,1995,/model/ferrari/348.html
Ferrari,Ferrari 360 Modena,1999,2005,/model/ferrari/360_modena.html
Ferrari,Ferrari 365 California,1966,1967,/model/ferrari/365_california.html
Ferrari,Ferrari 365 GT 2+2,1967,1971,/model/ferrari/365_gt_2_2.html
Ferrari,Ferrari 365 GT4 2+2,1972,1976,/model/ferrari/365_gt4_2_2.html
Ferrari,Ferrari 365 GT4 Berlinetta Boxer,1973,1976,/model/ferrari/365_gt4_bb.html
Ferrari,Ferrari 365 GTB/4-GTS/4 Daytona,1968,1974,/model/ferrari/365_gtb_4_-_gts_4.html
Ferrari,Ferrari 365 GTC/4,1971,1972,/model/ferrari/365_gtc_4.html
Ferrari,Ferrari 365 P Berlinetta Speciale,1966,1966,/model/ferrari/365_p.html
Ferrari,Ferrari 375 Plus,1954,1954,/model/ferrari/375_plus.html
Ferrari,Ferrari 400 Superamerica,1960,1964,/model/ferrari/400_superamerica.html
Ferrari,Ferrari 400-412,1976,1989,/model/ferrari/400_412.html
Ferrari,Ferrari 408,1987,1987,/model/ferrari/408.html
Ferrari,Ferrari 410 Superamerica,1955,1959,/model/ferrari/410_superamerica.html
