Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2004 Ferrari Enzo ,Ferrari Enzo (s-aut. 6 speed),/car/2004/707255/ferrari_enzo.html,,Europe  North America,S (sport cars),fastback coupe,RWD (rear-wheel drive),4702 mm / 185.1 in,2035 mm / 80.1 in,1147 mm / 45.2 in,2650 mm / 104.3 in,1365 kg / 3009 lbs,Ferrari Tipo F140B,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME7,V 12,5999 cm3 / 365.6 cui,485 kW / 660 PS / 650 hp  (ECE),657 Nm / 485 ft-lb,Ferrari F1,semi-automatic (automated manual),6,350 km/h / 218 mph,3.65, ,36.3 / 15.2 / 23 l/100km,,,,,,,,,13.6-16.3 / 29.8-35.8 / 14.1-16.9 / 21.5
2021 Fiat 500 (EV) Cabrio ,Fiat 500 Cabrio (aut. 1 speed),/car/2021/2971415/fiat_500_cabrio.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3632 mm / 143 in,1683 mm / 66.3 in,1527 mm / 60.1 in,2322 mm / 91.4 in,1330 kg / 2932 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,permanent magnet electric motor, ,0 cm3 /  cui,87 kW / 118 PS / 117 hp  (ECE),220 Nm / 162 ft-lb,,automatic,1,150 km/h / 93 mph,9, , ,42 kWh,37.3 kWh,,14.7 kWh / 100km,,303 km / 188 miles,,436 km / 271 miles,- / - / - / 
2004 Ferrari 360 Spider ,Ferrari 360 Spider F1 (s-aut. 6 speed),/car/2004/707135/ferrari_360_spider_f1.html,,Europe  North America,S (sport cars),convertible,RWD (rear-wheel drive),4477 mm / 176.3 in,1922 mm / 75.7 in,1235 mm / 48.6 in,2600 mm / 102.4 in,1450 kg / 3197 lbs,Ferrari Dino V8 Tipo F121,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,5,Bosch Motronic ME7.3,V 8,3586 cm3 / 219.3 cui,294 kW / 400 PS / 394 hp  (ECE),373 Nm / 275 ft-lb,Ferrari F1,semi-automatic (automated manual),6,293 km/h / 182 mph,4.6, ,30.2 / 12.9 / 19.3 l/100km,,,,,,,,,11.3-13.6 / 20.1-24.1 / 12.4-14.9 / 16
2020 Ferrari SF90 Stradale ,Ferrari SF90 Stradale (d-cl. 8 speed),/car/2020/2914715/ferrari_sf90_stradale.html,,Europe  North America       Asia       worldwide,S (sport cars),fastback coupe,"4WD (four-wheel drive, 4x4, 2 electric motors on the front axle, petrol engine and one electric motor on the rear axle)",4704 mm / 185.2 in,1973 mm / 77.7 in,1226 mm / 48.3 in,2649 mm / 104.3 in, ,Ferrari,spark-ignition 4-stroke,gasoline/electric power - PHEV Plug-in Hybrid Electric Vehicle,"PHEV Plug-in Hybrid Electric Vehicle, direct injection engine + electric motor",2 turbochargers,4,"350 bar direct injection + 3 electric motors (plug-in hybrid), Hybrid start-stop system",V 8,3990 cm3 / 243 cui,735 kW / 1000 PS / 986 hp  (ECE), ,,dual clutch automatic,8,340 km/h / 211 mph,2.5, , ,7.9 kWh,,,,,,25 km / 16 miles,,- / - / - / 
2014 Fiat 500C Convertible phase-I ,Fiat 500c TwinAir Turbo 85 Dualogic Start&Stop (s-aut. 5 speed),/car/2014/1455500/fiat_500c_twinair_turbo_85_dualogic_startandstop.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3546 mm / 139.6 in,1627 mm / 64.1 in,1488 mm / 58.6 in,2300 mm / 90.6 in,950 kg / 2094 lbs,Fiat TwinAir,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,turbocharger,4,"Multi-point fuel injection, turbo, intercooler, start and stop, Start-Stop system",Line 2,875 cm3 / 53.5 cui,62.5 kW / 85 PS / 84 hp  (ECE),145 Nm / 107 ft-lb,Fiat Dualogic,semi-automatic (automated manual),5,173 km/h / 108 mph,11.5, ,4.6 / 3.6 / 4 l/100km,,,,,,,,,4.9-5.9 / 7.3-8.8 / 6.7-8 / 6.4
2021 Fiat 500C Convertible phase-II ,Fiat 500c Hybrid (man. 6 speed),/car/2021/2971385/fiat_500c_hybrid.html,,Europe,A (mini cars),soft-top,FWD (front-wheel drive),3571 mm / 140.6 in,1627 mm / 64.1 in,1488 mm / 58.6 in,2300 mm / 90.6 in,980 kg / 2160 lbs,Fiat FireFly series,spark-ignition 4-stroke,gasoline (petrol),"MHEV Mild Hybrid Electric Vehicle, indirect injection engine + electric starter/generator",naturally aspirated,2,MHEV Start-Stop system,Line 3,999 cm3 / 61.2 cui,51.5 kW / 70 PS / 69 hp  (ECE),93 Nm / 69 ft-lb,,manual,6,167 km/h / 104 mph,13.8, ,4.7 / 3.4 / 3.9 l/100km,,,,,,,,,- / - / - / 
2018 Fiat 500e Hatchback ,Fiat 500e (aut. 1 speed),/car/2018/2630330/fiat_500e.html,,"North America              California, Oregon",A (mini cars),hatchback,FWD (front-wheel drive),3617 mm / 142.4 in,1627 mm / 64.1 in,1527 mm / 61.1 in,2300 mm / 90.6 in,1355 kg / 2987 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,permanent magnetic electric traction with electric-parking pawl, ,0 cm3 /  cui,83 kW / 113 PS / 111 hp  (SAE net),200 Nm / 147 ft-lb,,automatic,1,141 km/h / 88 mph,, , ,24 kWh,364 V,,,,,,,- / - / - / 
1999 Fiat Coupe model 175 ,Fiat Coupe 2.0 20V (man. 5 speed),/car/1999/720470/fiat_coupe_2_0_20v.html,,Europe,S (sport cars),fastback coupe,FWD (front-wheel drive),4250 mm / 167.3 in,1768 mm / 69.6 in,1355 mm / 53.3 in,2540 mm / 100 in,1270 kg / 2800 lbs,Fiat,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,5,Bosch; Variable Inlet System,Line 5,1998 cm3 / 122.1 cui,113 kW / 154 PS / 152 hp  (ECE),186 Nm / 137 ft-lb,,manual,5,215 km/h / 134 mph,8.4, ,14 / 7.3 / 9.8 l/100km,,,,,,,,,8-9.6 / 12.5-15 / 9.7-11.6 / 10.6
2012 Ford Mondeo Mk IV phase-II Sedan ,Ford Mondeo (4-dr) 1.6 TDCi (115) Titanium (man. 6 speed),/car/2012/1595195/ford_mondeo_5-dr_1_6_tdci_115_ambiente.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4850 mm / 190.9 in,1886 mm / 74.3 in,1500 mm / 59.1 in,2850 mm / 112.2 in,1421 kg / 3133 lbs,PSA DV6 / Ford DLD-416 Duratorq,diesel,diesel fuel,common rail,turbocharger,2,"Bosch Common Rail Motor Management System 1650bar, 7-hole piezo-electric injctors, DOHC, Garrett variable turbo; intercooler",Line 4,1560 cm3 / 95.1 cui,84.5 kW / 115 PS / 113 hp  (ECE),270 Nm / 199 ft-lb,Ford Durashift B6,manual,6,190 km/h / 118 mph,11.9, ,6 / 4.2 / 4.9 l/100km,,,,,,,,,4.6-5.5 / 7.3-8.8 / 5.4-6.5 / 6.2
2012 Ford Mondeo Mk IV phase-II Sedan ,Ford Mondeo (4-dr) 2.0 TDCi (140) Titanium PowerShift (d-cl. 6 speed),/car/2012/1595300/ford_mondeo_5-dr_2_0_tdci_140_trend_powershift.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4850 mm / 190.9 in,1886 mm / 74.3 in,1500 mm / 59.1 in,2850 mm / 112.2 in,1498 kg / 3302 lbs,PSA DW10-series,diesel,diesel fuel,common rail,turbocharger,4,"Ford 2nd gen Common Rail Motor Management System 2000bar, variable turbo; intercooler",Line 4,1997 cm3 / 122 cui,103 kW / 140 PS / 138 hp  (ECE),320 Nm / 236 ft-lb,Getrag MPS6,dual clutch automatic,6,205 km/h / 127 mph,10.2, ,7.2 / 4.7 / 5.6 l/100km,,,,,,,,,4.9-5.9 / 8.3-10 / 5.6-6.7 / 6.8
2012 Ford Mondeo Mk IV phase-II Sedan ,Ford Mondeo (4-dr) 2.0 TDCi (163) Titanium S PowerShift (d-cl. 6 speed),/car/2012/1595405/ford_mondeo_5-dr_2_0_tdci_163_titanium_powershift.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4850 mm / 190.9 in,1886 mm / 74.3 in,1500 mm / 59.1 in,2850 mm / 112.2 in,1498 kg / 3302 lbs,PSA DW10-series,diesel,diesel fuel,common rail,turbocharger,4,"Ford 2nd gen Common Rail Motor Management System 2000bar, variable turbo; intercooler",Line 4,1997 cm3 / 122 cui,120 kW / 163 PS / 161 hp  (ECE),340 Nm / 251 ft-lb,Getrag MPS6,dual clutch automatic,6,215 km/h / 134 mph,9.5, ,7.2 / 4.7 / 5.6 l/100km,,,,,,,,,4.9-5.9 / 8.3-10 / 5.5-6.6 / 6.8
2012 Ford Mondeo Mk IV phase-II Sedan ,Ford Mondeo (4-dr) 2.0 TDCi (163) Titanium PowerShift (d-cl. 6 speed),/car/2012/1595390/ford_mondeo_5-dr_2_0_tdci_163_titanium_powershift.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4850 mm / 190.9 in,1886 mm / 74.3 in,1500 mm / 59.1 in,2850 mm / 112.2 in,1498 kg / 3302 lbs,PSA DW10-series,diesel,diesel fuel,common rail,turbocharger,4,"Ford 2nd gen Common Rail Motor Management System 2000bar, variable turbo; intercooler",Line 4,1997 cm3 / 122 cui,120 kW / 163 PS / 161 hp  (ECE),340 Nm / 251 ft-lb,Getrag MPS6,dual clutch automatic,6,215 km/h / 134 mph,9.5, ,7.2 / 4.7 / 5.6 l/100km,,,,,,,,,5-6 / 8.5-10.2 / 5.6-6.7 / 6.9
2012 Ford Mondeo Mk IV phase-II Sedan ,Ford Mondeo (4-dr) 2.2 TDCi (200) Titanium S (man. 6 speed),/car/2012/1595435/ford_mondeo_5-dr_2_2_tdci_200_titanium.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4850 mm / 190.9 in,1886 mm / 74.3 in,1500 mm / 59.1 in,2850 mm / 112.2 in,1524 kg / 3360 lbs,PSA DW12-series,diesel,diesel fuel,common rail,turbocharger,4,"Ford 2nd gen Common Rail Motor Management System 1800bar; Bosch injection, variable turbo; intercooler",Line 4,2179 cm3 / 133.3 cui,147 kW / 200 PS / 197 hp  (ECE),420 Nm / 310 ft-lb,Ford M66,manual,6,220 km/h / 137 mph,8.1,29.9 / 9.9 / 19.9 l/100km,7.8 / 5 / 6 l/100km,,,,,,,,,5-6 / 9-10.8 / 5.6-6.7 / 7.1
2019 Hyundai i40 phase-III Wagon ,Hyundai i40 Kombi (Wagon) 1.6 CRDi 136 7DCT (d-cl. 7 speed),/car/2019/2767775/hyundai_i40_kombi_wagon_1_6_crdi_136_7dct.html,,Europe,D (large cars),station wagon,FWD (front-wheel drive),4775 mm / 188 in,1815 mm / 71.5 in,1470 mm / 57.9 in,2770 mm / 109.1 in,1539 kg / 3393 lbs,Hyundai U-series,diesel,diesel fuel,common rail,turbocharger,4,"variable turbo VGT; intercooler, ISG (Idle Start and Go)",Line 4,1582 cm3 / 96.7 cui,100 kW / 136 PS / 134 hp  (ECE),320 Nm / 236 ft-lb,,dual clutch automatic,7,194 km/h / 121 mph,11, ,5.2 / 4.4 / 4.7 l/100km,,,,,,,,,4.4-5.3 / 6.3-7.6 / 4.9-5.9 / 5.6
2006 Hyundai Trajet MPV ,Hyundai Trajet XG 2.0 VGT Gold automatic (aut. 4 speed),/car/2006/1169930/hyundai_trajet_xg_2_0_vgt_gold_automatic.html,,Asia       Korea DM,M (D) (multi purpose cars - segment D - large),multi-purpose,FWD (front-wheel drive),4695 mm / 184.8 in,1840 mm / 72.4 in,1760 mm / 69.3 in,2830 mm / 111.4 in,1905 kg / 4200 lbs,VM RA 420 SOHC,diesel,diesel fuel,common rail,turbocharger,4,SOHC; variable turbo; intercooler,Line 4,1991 cm3 / 121.6 cui,93 kW / 126 PS / 125 hp  (JIS net),289 Nm / 213 ft-lb,,automatic,4, ,, , ,,,,,,,,,6-7.2 / 8.3-10 / 7.7-9.2 / 7.5
2006 Hyundai Trajet MPV ,Hyundai Trajet XG 2.7 V6 Gold LPG automatic (aut. 4 speed),/car/2006/1169915/hyundai_trajet_xg_2_7_v6_gold_lpg_automatic.html,,Asia       Korea DM,M (D) (multi purpose cars - segment D - large),multi-purpose,FWD (front-wheel drive),4695 mm / 184.8 in,1840 mm / 72.4 in,1760 mm / 69.3 in,2830 mm / 111.4 in,1815 kg / 4001 lbs,Hyundai Delta-series L6BA,spark-ignition 4-stroke,LPG (liquefied petroleum gas),LPG installation,naturally aspirated,4,,V 6,2656 cm3 / 161.6 cui,106 kW / 144 PS / 142 hp  (JIS net),226 Nm / 167 ft-lb,,automatic,4, ,, , ,,,,,,,,,11.8-14.2 / 16.8-20.2 / 14.3-17.2 / 15
2019 Hyundai Tucson 3gen/II SUV 4WD ,Hyundai Tucson 2.0 CRDi MHEV 48V 185 4WD automatic (aut. 8 speed),/car/2019/2762045/hyundai_tucson_2_0_crdi_185_4wd_automatic.html,HYUNDAI TUCSON 3gen (North America),Europe,"J (C) (sport utility cars and off-road vehicles - segment C - medium, compact)",sport-utility wagon,"4x4 on-demand (HTRAC, rear engaged automatically when front wheels slipping is detected, electromagnetic multi-plate clutch, AWD lock, 100/0-50/50 torque split)",4480 mm / 176.4 in,1850 mm / 72.8 in,1645 mm / 64.8 in,2670 mm / 105.1 in,1673 kg / 3688 lbs,Hyundai R-series,diesel,diesel fuel,"MHEV Mild Hybrid Electric Vehicle, common rail engine + electric starter/generator",turbocharger,4,"variable turbo VGT, intercooler, 48 volt 12 kW starter-generator, 0.44 kWh battery, MHEV Start-Stop system",Line 4,1995 cm3 / 121.8 cui,136 kW / 185 PS / 182 hp  (ECE),400 Nm / 295 ft-lb,,automatic,8,201 km/h / 125 mph,9.5, ,6.2 / 5.4 / 5.8 l/100km,,,,,,,,,5.3-6.4 / 7.8-9.4 / 5.5-6.6 / 6.8
2020 Jaguar I-Pace ,Jaguar I-Pace EV400 (aut. 1 speed),/car/2020/2875310/jaguar_i-pace_ev400.html,,Europe,J (D) (sport utility cars and off-road vehicles - segment D - large),sport-utility crossover,"4WD (four-wheel drive, 4x4, electric all-wheel drive, motor and transmission integrated into front and rear axles)",4682 mm / 184.3 in,2011 mm / 79.2 in,1565 mm / 61.6 in,2990 mm / 117.7 in,2133 kg / 4702 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,two permanent magnet electric motors, ,0 cm3 /  cui,294 kW / 400 PS / 394 hp  (ECE),696 Nm / 513 ft-lb,,automatic,1,200 km/h / 124 mph,4.8, , ,90 kWh,,,24.8 kWh / 100km,,310 km / 193 miles,,470 km / 292 miles,- / - / - / 
2005 Jaguar XK8 Coupe (X100) ,Jaguar XK8 Coupe (aut. 6 speed),/car/2005/1287215/jaguar_xk8_coupe.html,,Europe,S (sport cars),fastback coupe,RWD (rear- wheel drive),4776 mm / 188 in,1829 mm / 72 in,1296 mm / 51 in,2588 mm / 101.9 in,1685 kg / 3715 lbs,Jaguar AJ34 (AJ-V8 4.2-Litre),spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,electronic sequential port,V 8,4196 cm3 / 257.1 cui,219 kW / 298 PS / 294 hp  (ECE),411 Nm / 303 ft-lb,ZF 6HP26,automatic,6,250 km/h / 155 mph,6.4, ,16.7 / 8.3 / 11.3 l/100km,,,,,,,,,9.7-11.6 / 18.5-22.2 / 10.2-12.2 / 14.2
2017 Jaguar XJR (X351) phase-II ,Jaguar XJR LWB (aut. 8 speed),/car/2017/2229935/jaguar_xjr_lwb.html,,Europe  North America,F (luxury cars),sedan,RWD (rear-wheel drive),5130 mm / 202 in,1899 mm / 74.8 in,1460 mm / 57.5 in,3032 mm / 119.4 in,1885 kg / 4156 lbs,Jaguar AJ133 (AJ-V8 Gen III 5.0-Litre),spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,roots type supercharger,4,"Roots supercharger; intercooler, Start-Stop system",V 8,5000 cm3 / 304.7 cui,405 kW / 551 PS / 543 hp  (ECE),680 Nm / 502 ft-lb,ZF 8HP70,automatic,8,280 km/h / 174 mph,4.6, ,16.2 / 8.2 / 11.1 l/100km,,,,,,,,,9.7-11.6 / 17.4-20.9 / 9.4-11.3 / 13.8
2005 Jaguar XKR Convertible (X100) ,Jaguar XKR 4.2-S Celebration Convertible (aut. 6 speed),/car/2005/1287650/jaguar_xkr_4_2-s_celebration_convertible.html,,Europe,S (sport cars),convertible,RWD (rear- wheel drive),4776 mm / 188 in,1829 mm / 72 in,1306 mm / 51.4 in,2588 mm / 101.9 in,1815 kg / 4001 lbs,Jaguar AJ34 (AJ-V8 4.2-Litre),spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,roots type supercharger,4,electronic sequential port; Roots Eaton 0.8bar supercharger; 2 intercoolers,V 8,4196 cm3 / 257.1 cui,291 kW / 396 PS / 390 hp  (ECE),541 Nm / 399 ft-lb,ZF 6HP26,automatic,6,250 km/h / 155 mph,5.5, ,18.1 / 9.2 / 12.5 l/100km,,,,,,,,,10.1-12.1 / 20.4-24.5 / 10.4-12.5 / 15.3
2001 Jaguar XKR-R ,Jaguar XKR-R (man. 6 speed),/car/2001/1287665/jaguar_xkr-r.html,JAGUAR XK model X100,Europe,S (sport cars),fastback coupe,RWD (rear- wheel drive),4760 mm / 187.4 in,1829 mm / 72 in,1265 mm / 49.8 in,2588 mm / 101.9 in, ,Jaguar AJ27 (AJ-V8 4.0-Litre),spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,supercharger,4,,V 8,3996 cm3 / 244.8 cui,335.5 kW / 456 PS / 450 hp  (ECE),580 Nm / 428 ft-lb,Tremec T56 (Borg Warner T-56),manual,6, ,4.8, , ,,,,,,,,,9.2-11 / 19.7-23.6 / 8.7-10.4 / 14.4
2020 Mazda Roadster 4gen RF (ND) ,Mazda Roadster RF VS automatic (aut. 6 speed),/car/2020/2507915/mazda_roadster_rf_vs_automatic.html,,Japan,S (sport cars),targa coupe,RWD (rear-wheel drive),3915 mm / 154.1 in,1735 mm / 68.3 in,1245 mm / 49 in,2310 mm / 90.9 in,1130 kg / 2491 lbs,Mazda PE series (SkyActiv-G),spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,naturally aspirated,4,Start-Stop system,Line 4,1998 cm3 / 122.1 cui,116 kW / 158 PS / 156 hp  (JIS net),200 Nm / 147 ft-lb,SJ6A-EL,automatic,6, ,, , ,,,,,,,,,6.3-7.6 / 10.3-12.4 / 7.3-8.8 / 8.5
2006 Mazda RX-8 Hydrogen Prototype ,Mazda RX-8 Hydrogen RE (aut. 4 speed),/car/2006/1678805/mazda_rx-8_hydrogen_re.html,,Japan,S (sport cars),notchback coupe with extra side doors,RWD (rear- wheel drive),4435 mm / 174.6 in,1770 mm / 69.7 in,1340 mm / 52.8 in,2700 mm / 106.3 in,1460 kg / 3219 lbs,Mazda 13B series wankel,spark-ignition wankel,compressed hydrogen gas,gasoline (petrol) injection + hydrogen injection,naturally aspirated,wankel,,Rotor 2,1308 cm3 /  cui,80 kW / 109 PS / 107 hp  (JIS net),140 Nm / 103 ft-lb,Jatco-Mazda RC4A-EL,automatic,4, ,, , ,,,,,,,,,- / - / - / 
1998 Mazda Xedos 6 Sedan (CA) ,Mazda Xedos 6 2.0i V6 automatic (aut. 4 speed),/car/1998/1652840/mazda_xedos_6_2_0i_v6_automatic.html,EUNOS 500,Europe,D (large cars),sedan,FWD (front-wheel drive),4560 mm / 179.5 in,1700 mm / 66.9 in,1355 mm / 53.3 in,2610 mm / 102.8 in,1230 kg / 2712 lbs,Mazda KF series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Multi-point fuel injection EGI,V 6,1995 cm3 / 121.7 cui,103 kW / 140 PS / 138 hp  (ECE),170 Nm / 125 ft-lb,Jatco/Mazda 4-EAT,automatic,4,201 km/h / 125 mph,12.1,6.4 / 7.9 / 11.3 (8.5) l/100km,12.7 / 7.2 / 9.2 l/100km,,,,,,,,,7.7-9.2 / 12.2-14.6 / 9-10.8 / 10.3
2011 Mazda RX-8 phase II Coupe (SE) ,Mazda RX-8 Type RS (man. 6 speed),/car/2011/1678595/mazda_rx-8_type_rs.html,,Japan,S (sport cars),notchback coupe with extra side doors,RWD (rear- wheel drive),4470 mm / 176 in,1770 mm / 69.7 in,1340 mm / 52.8 in,2700 mm / 106.3 in,1350 kg / 2976 lbs,Mazda 13B series wankel,spark-ignition wankel,gasoline (petrol),gasoline indirect injection,naturally aspirated,wankel,,Rotor 2,1308 cm3 /  cui,173 kW / 235 PS / 232 hp  (JIS net),216 Nm / 159 ft-lb,,manual,6, ,, , ,,,,,,,,,11.8-14.2 / 20.5-24.6 / 13.1-15.7 / 16.5
